AdaBoost,Dataset Name,LogitBoost,MadaBoost
1,led-display,3,2
1,cylinder-bands,2,3
1,wall-following,3,2
1,lupus,2,3
3,waveform,1,2
2,molec-biol-splice,3,1
1,echocardiogram,2,3
3,pima,1,2
3,analcatdata_broadwaymult,2,1
2,ar4,3,1
3,soybean,2,1
3,hill-valley,1,2
3,cardiotocography-10clases,1,2
1,breast-tissue,3,2
1,ilpd-indian-liver,2,3
1,steel-plates,3,2
2,pittsburg-bridges-SPAN,3,1
2,conn-bench-vowel-deterding,1,3
2,newton_hema,3,1
2,ionosphere,1,3
3,mammographic,2,1
1,synthetic-control,3,2
1,chess-krvkp,2,3
2,elusage,1,3
3,heart-cleveland,1,2
3,socmob,2,1
3,dermatology,2,1
3,low-res-spect,2,1
2,teachingAssistant,1,3
2,statlog-german-credit,1,3
2,oocytes_merluccius_nucleus_4d,1,3
1,planning,3,2
2,acute-nephritis,3,1
1,image-segmentation,3,2
3,ecoli,2,1
3,seeds,2,1
3,audiology-std,2,1
2,titanic,3,1
3,zoo,2,1
3,vote,2,1
3,horse-colic,1,2
1,balance-scale,3,2
3,cardiotocography-3clases,1,2
1,tae,3,2
3,lymphography,2,1
2,cloud,3,1
2,oocytes_trisopterus_nucleus_2f,1,3
2,vertebral-column-2clases,1,3
1,spect,2,3
1,squash-stored,2,3
1,haberman-survival,2,3
2,plant-margin,1,3
2,heart-hungarian,1,3
3,lenses,2,1
1,monks-2,2,3
3,energy-y2,1,2
2,transplant,3,1
3,plant-shape,1,2
3,teaching,1,2
3,analcatdata_germangss,2,1
3,rabe_131,2,1
2,musk-1,1,3
3,baseball,1,2
1,breast-cancer,2,3
3,fertility,2,1
2,pittsburg-bridges-T-OR-D_R,3,1
3,heart-switzerland,2,1
1,analcatdata_asbestos,3,2
2,plasma_retinol,3,1
1,pm10,3,2
1,congressional-voting,2,3
3,mfeat-karhunen,1,2
3,annealing,2,1
3,bodyfat,2,1
1,wine,3,2
3,yeast,2,1
1,contrac,3,2
3,pittsburg-bridges-REL-L,2,1
2,conn-bench-sonar-mines-rocks,1,3
1,heart-va,3,2
3,waveform-noise,1,2
2,statlog-vehicle,3,1
3,spambase,2,1
1,prnn_synth,2,3
3,libras,1,2
3,acute-inflammation,2,1
2,rmftsa_sleepdata,3,1
3,braziltourism,2,1
1,kc3,2,3
1,credit-approval,3,2
1,analcatdata_lawsuit,3,2
3,pittsburg-bridges-MATERIAL,2,1
3,diabetes,1,2
3,arrhythmia,2,1
2,breast-cancer-wisc-prog,3,1
2,oocytes_merluccius_states_2f,1,3
3,semeion,1,2
3,post-operative,2,1
2,disclosure_z,1,3
3,squash-unstored,2,1
2,meta,3,1
1,fri_c0_250_5,3,2
3,no2,2,1
3,wine-quality-white,2,1
3,wine-quality-red,1,2
2,blood,1,3
3,glass,2,1
2,statlog-australian-credit,3,1
3,iris,2,1
1,visualizing_livestock,3,2
2,tic-tac-toe,1,3
2,hayes-roth,3,1
2,monks-3,1,3
1,breast-cancer-wisc,3,2
3,diggle_table_a2,2,1
2,sleuth_case2002,3,1
3,molec-biol-promoter,2,1
3,statlog-heart_,1,2
3,monks-1,2,1
2,pittsburg-bridges-TYPE,3,1
1,triazines,3,2
1,breast-cancer-wisc-diag,2,3
3,flags,2,1
1,energy-y1,2,3
2,chatfield_4,3,1
3,vertebral-column-3clases,1,2
1,car,3,2
1,lowbwt,2,3
3,oocytes_trisopterus_states_5b,2,1
1,mfeat-morphological,2,3
3,mushroom,1,2
3,plant-texture,1,2
3,white-clover,2,1
3,ozone,2,1
2,bank,1,3
3,lung-cancer,2,1
3,statlog-image,1,2
1,abalon,3,2
1,analcatdata_boxing1,2,3
1,parkinsons,3,2
2,schizo,3,1
